Faculty Employee ID,Faculty Name,Academic Year,College,Book Title,Publisher,ISBN,"Publication Scope
National/International",Year Of Publication,Month of Publication,Total Authors,Faculty Author Position,"Aditya Co-author positions ( if existing )
Emp Id only",,,,,,,
,,,,,,,,,,,,1,2,3,4,5,6,7,8
6106,Dr D.N.Purnima,2025-2026,AUS,"Engineering Mathematics 
",Pencil Bitz, 978-93-47785-59-7,National,2026,March,5,5,,,,,,,,
6346,A. Anil Kumar,2025-2026,AUS,Digital Marketing: Fundementals and Strategies,BR Publications,978-81-69372-91-6,National,2026,June,4,1,,6393,4592,,,,,
66,Dr. K. Ravi Shankar,2025-2026,ACOP,"Textbook of regulatory affairs, intellectual property rights, patents and quality assurance",Pharmaed Press,978-93-49562-61-5,National,2025,June,4,1,,1724,,,,,,
66,Dr. K. Ravi Shankar,2025-2026,ACOP,Pharmacovation in Action: Integrating innovation into contemporary pharmacy,Aditya University,978-81-99160-39-2,National,2025,December,3,1,,5504,4780,,,,,
41,Dr. K. Venkateswarulu,2025-2026,ACOP,"Advanced Pharmaceutical technologies: Formulation strategies, novel carriers, and AI- enabled optimization",Aditya University,978-81-99160-30,National,2025,December,3,1,,5985,5984,,,,,
1724,Dr. Divya Narla,2025-2026,ACOP,"Innovative trends in drug design and evaluation: Integrating chemistry, analytics and natural sources",Aditya University,978-81-991603-7-8,National,2025,December,4,1,,4022,5013,5475,,,,
5184,A. Swetha,2025-2026,ACOP,Natural bioactives and hybrid formulations: Bridging traditional and modern pharmaceutics,Aditya University,978-81-991603-4-7,National,2026,February,3,1,,3632,5570,,,,,
66,Dr. K. Ravi Shankar,2025-2026,ACOP,Pharmascape: Mapping the future of pharmacological innovations,Aditya University,978-81-991603-2-3,National,2026,March,2,1,,5504,,,,,,
